Sampling Method,Respondent ID,Likelihood to Subscribe
Random,1,4
Random,2,4
Random,3,3
Random,4,4
Random,5,5
Random,6,4
Random,7,3
Random,8,4
Random,9,4
Random,10,4
Random,11,5
Random,12,4
Random,13,3
Random,14,4
Random,15,4
Random,16,5
Random,17,4
Random,18,4
Random,19,3
Random,20,4
Random,21,4
Random,22,4
Random,23,5
Random,24,4
Random,25,4
Random,26,4
Random,27,3
Random,28,4
Random,29,4
Random,30,4
Selective,1,5
Selective,2,4
Selective,3,5
Selective,4,5
Selective,5,4
Selective,6,5
Selective,7,4
Selective,8,5
Selective,9,5
Selective,10,4
